av512m/500/1 : [22.20564, 9.14282, 22.88139]
av512m/500/2 : [20.16404, 10.63584, 21.76634]
av512m/500/3 : [7.69679, 4.99149, 7.69357]
av512m/750/1 : [17.78356, 19.13645, 21.06556]
av512m/750/2 : [21.91459, 8.87768, 20.31006]
av512m/750/3 : [12.96204, 13.6559, 15.49702]
av512m/1000/1 : [9.06692, 5.65535, 9.45157]
av512m/1000/2 : [18.29633, 18.18788, 20.22512]
av512m/1000/3 : [12.72558, 6.70939, 13.66765]
av512m/1250/1 : [34.62417, 8.77026, 31.5642]
av512m/1250/2 : [5.03176, 4.67777, 5.13127]
av512m/1250/3 : [15.94253, 14.62747, 17.24655]
av512m/2500/1 : [9.07494, 4.38489, 8.37906]
av512m/2500/2 : [5.97041, 5.23702, 6.05634]
av512m/2500/3 : [32.68856, 4.2799, 28.66567]
av512m/5000/1 : [6.88122, 4.08711, 6.62151]
av512m/5000/2 : [8.17006, 4.55991, 7.85254]
av512m/5000/3 : [9.03758, 4.85876, 8.67742]
av512m/10000/1 : [8.48333, 6.64244, 8.66001]
av512m/10000/2 : [7.14458, 5.95434, 7.24416]
av512m/10000/3 : [54.10901, 64.34977, 77.43099]
av512s/500/1 : [28.64733, 6.71137, 35.50173]
av512s/500/2 : [9.81232, 5.4906, 11.16075]
av512s/500/3 : [15.56444, 9.18859, 17.54685]
av512s/750/1 : [6.1055, 5.39337, 6.7356]
av512s/750/2 : [13.51074, 4.35294, 14.66609]
av512s/750/3 : [6.83584, 4.81727, 7.0457]
av512s/1000/1 : [6.98327, 3.31269, 6.74917]
av512s/1000/2 : [9.02494, 6.29359, 9.06081]
av512s/1000/3 : [8.32194, 3.69747, 8.01139]
av512s/1250/1 : [8.14855, 3.01489, 7.73204]
av512s/1250/2 : [8.49191, 5.08754, 8.59093]
av512s/1250/3 : [6.21009, 2.14697, 3.88298, 5.80532]
av512s/2500/1 : [12.41133, 4.25154, 11.80195]
av512s/2500/2 : [12.24131, 4.20834, 11.50176]
av512s/2500/3 : [12.54438, 4.97339, 12.08549]
av512s/5000/1 : [7.42524, 3.6208, 7.24294]
av512s/5000/2 : [8.38636, 4.00483, 8.1278]
av512s/5000/3 : [8.01238, 4.17809, 7.7704]
av512s/10000/1 : [4.47945, 3.96323, 4.63775]
av512s/10000/2 : [4.69545, 3.30896, 4.60542]
av512s/10000/3 : [6.8307, 5.14193, 6.96965]
euroc_mh1_752/500/1 : [3.45437, 3.45437]
euroc_mh1_752/500/2 : [3.73843, 3.73843]
euroc_mh1_752/500/3 : [2.88928, 2.88928]
euroc_mh1_752/750/1 : [3.9462, 3.9462]
euroc_mh1_752/750/2 : [3.62977, 3.62977]
euroc_mh1_752/750/3 : [3.56764, 3.56764]
euroc_mh1_752/1000/1 : [4.02512, 4.02512]
euroc_mh1_752/1000/2 : [3.71991, 3.71991]
euroc_mh1_752/1000/3 : [4.06471, 4.06471]
euroc_mh1_752/1250/1 : [3.94975, 3.94975]
euroc_mh1_752/1250/2 : [3.95586, 3.95586]
euroc_mh1_752/1250/3 : [3.87091, 3.87091]
euroc_mh1_752/2500/1 : [3.59096, 3.59096]
euroc_mh1_752/2500/2 : [3.54646, 3.54646]
euroc_mh1_752/2500/3 : [3.64821, 3.64821]
euroc_mh1_752/5000/1 : [3.65477, 3.65477]
euroc_mh1_752/5000/2 : [3.81817, 3.81817]
euroc_mh1_752/5000/3 : [3.76019, 3.76019]
euroc_mh1_752/10000/1 : [4.34072, 4.34072]
euroc_mh1_752/10000/2 : [4.73244, 4.73244]
euroc_mh1_752/10000/3 : [4.78603, 4.78603]
euroc_mh2_752/500/1 : [4.12686, 4.12686]
euroc_mh2_752/500/2 : [3.10609, 3.10609]
euroc_mh2_752/500/3 : [2.90922, 2.90922]
euroc_mh2_752/750/1 : [3.49062, 3.49062]
euroc_mh2_752/750/2 : [3.24637, 3.24637]
euroc_mh2_752/750/3 : [3.29212, 3.29212]
euroc_mh2_752/1000/1 : [2.99614, 2.99614]
euroc_mh2_752/1000/2 : [2.91429, 2.91429]
euroc_mh2_752/1000/3 : [5.60895, 5.60895]
euroc_mh2_752/1250/1 : [3.23532, 3.23532]
euroc_mh2_752/1250/2 : [7.82315, 7.82315]
euroc_mh2_752/1250/3 : [6.69579, 6.69579]
euroc_mh2_752/2500/1 : [3.17294, 3.17294]
euroc_mh2_752/2500/2 : [3.38097, 3.38097]
euroc_mh2_752/2500/3 : [3.40601, 3.40601]
euroc_mh2_752/5000/1 : [3.84791, 3.84791]
euroc_mh2_752/5000/2 : [3.45889, 3.45889]
euroc_mh2_752/5000/3 : [3.38571, 3.38571]
euroc_mh2_752/10000/1 : [9.21221, 9.21221]
euroc_mh2_752/10000/2 : [3.5469, 3.5469]
euroc_mh2_752/10000/3 : [3.34788, 3.34788]
euroc_mh3_752/500/1 : [3.92282, 3.92282]
euroc_mh3_752/500/2 : [4.17948, 4.17948]
